prl,ti,channel
RLRL,T2,0
RP,T3,0
RPRL,T10,0
RL,T7,0
RPRL,T10,0
RL,T7,0
RLRL,T2,0
PR,T9,0
RLRL,T2,0
LR,T5,0
PR,T9,0
RPRL,T10,0
LR,T5,0
PR,T9,0
RPRL,T10,0
RP,T3,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RL,T7,0
LR,T5,0
RLRL,T2,0
LRLP,T1,0
RPRL,T10,0
RL,T7,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
LRLP,T1,0
LRLP,T1,0
RPRL,T10,0
LP,T8,0
PR,T9,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
LR,T5,0
RPRL,T10,0
RP,T3,0
RPRL,T10,0
LR,T5,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
LR,T5,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RP,T3,0
RPRL,T10,0
RL,T7,0
RPRL,T10,0
RL,T7,0
RLRL,T2,0
LR,T5,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
PR,T9,0
RLRL,T2,0
RPRL,T10,0
LR,T5,0
RLRL,T2,0
RLRL,T2,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
PR,T9,0
LR,T5,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
RL,T7,0
RPRL,T10,0
RL,T7,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
RL,T7,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
RL,T7,0
RL,T7,0
LR,T5,0
LRLP,T1,0
RPRL,T10,0
RPRL,T10,0
PR,T9,0
PLRL,T11,0
LRLP,T1,0
LRLP,T1,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PR,T9,0
LRLP,T1,0
RPRL,T10,0
LR,T5,0
RLRL,T2,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
PL,T4,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RP,T3,0
RPRL,T10,0
RL,T7,0
LR,T5,0
RLRL,T2,0
RP,T3,0
RPRL,T10,0
RL,T7,0
RPRL,T10,0
RL,T7,0
LP,T8,0
LR,T5,0
PR,T9,0
RPRL,T10,0
LP,T8,0
LR,T5,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
RLRL,T2,0
RPRL,T10,0
RP,T3,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RL,T7,0
RPRL,T10,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
RLRL,T2,1
RP,T3,1
RPRL,T10,1
RL,T7,1
RPRL,T10,1
RL,T7,1
RLRL,T2,1
PR,T9,1
RLRL,T2,1
LR,T5,1
PR,T9,1
RPRL,T10,1
LR,T5,1
PR,T9,1
RPRL,T10,1
RP,T3,1
RPRL,T10,1
RLRL,T2,1
RPRL,T10,1
RL,T7,1
LR,T5,1
RLRL,T2,1
LRLP,T1,1
RPRL,T10,1
RL,T7,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
RP,T3,1
RPRL,T10,1
RLRL,T2,1
RPRL,T10,1
RPRL,T10,1
RPRL,T10,1
