note,time,channel
0,0.46875,0
72,0.234375,0
71,0.234375,0
72,0.234375,0
74,0.234375,0
75,0.234375,0
67,0.234375,0
68,0.234375,0
70,0.234375,0
68,0.234375,0
65,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
71,0.234375,0
80,0.234375,0
79,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
71,0.234375,0
72,0.234375,0
74,0.234375,0
72,0.234375,0
74,0.234375,0
74,0.703125,0
72,0.1171875,0
74,0.1171875,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
74,0.234375,0
75,0.234375,0
77,0.234375,0
79,0.46875,0
79,0.46875,0
77,0.46875,0
0,0.46875,0
77,0.46875,0
77,0.46875,0
75,0.46875,0
0,0.46875,0
74,0.46875,0
75,0.46875,0
68,0.703125,0
65,0.234375,0
70,0.234375,0
65,0.234375,0
67,0.46875,0
75,0.703125,0
74,0.234375,0
75,0.234375,0
70,0.234375,0
72,0.234375,0
75,0.234375,0
80,0.234375,0
79,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
74,0.234375,0
79,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
68,0.234375,0
72,0.234375,0
77,0.234375,0
72,0.234375,0
74,0.703125,0
74,0.234375,0
75,0.234375,0
70,0.234375,0
72,0.234375,0
70,0.234375,0
79,1.171875,0
70,0.234375,0
72,0.234375,0
70,0.234375,0
80,1.171875,0
70,0.234375,0
75,0.234375,0
74,0.234375,0
79,0.234375,0
77,0.234375,0
80,0.234375,0
79,0.234375,0
84,0.234375,0
82,0.234375,0
80,0.234375,0
79,0.234375,0
77,0.234375,0
82,0.234375,0
80,0.234375,0
82,0.234375,0
79,0.234375,0
82,0.234375,0
80,0.234375,0
82,0.234375,0
75,0.234375,0
79,0.234375,0
77,0.234375,0
79,0.234375,0
72,0.234375,0
74,0.234375,0
75,0.234375,0
77,0.234375,0
74,0.234375,0
75,0.234375,0
77,0.234375,0
79,0.234375,0
75,0.234375,0
77,0.234375,0
79,0.234375,0
80,0.234375,0
82,0.234375,0
80,0.234375,0
84,0.234375,0
82,0.234375,0
80,0.234375,0
79,0.234375,0
77,0.234375,0
80,0.234375,0
74,1.171875,0
74,0.234375,0
79,0.234375,0
74,0.234375,0
75,0.234375,0
72,0.234375,0
74,0.234375,0
70,0.234375,0
72,1.171875,0
79,0.234375,0
78,0.234375,0
81,0.234375,0
72,0.234375,0
70,0.234375,0
72,0.703125,0
78,0.234375,0
76,0.234375,0
74,0.234375,0
82,0.703125,0
76,0.234375,0
78,0.703125,0
79,0.234375,0
79,0.46875,0
67,0.234375,0
66,0.234375,0
67,0.234375,0
69,0.234375,0
70,0.234375,0
62,0.234375,0
63,0.234375,0
65,0.234375,0
63,0.234375,0
60,0.234375,0
72,0.234375,0
70,0.234375,0
69,0.234375,0
67,0.234375,0
66,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
69,0.234375,0
67,0.234375,0
66,0.234375,0
67,0.234375,0
69,0.234375,0
67,0.234375,0
69,0.234375,0
69,0.703125,0
67,0.1171875,0
69,0.1171875,0
70,0.234375,0
69,0.234375,0
67,0.234375,0
69,0.234375,0
70,0.234375,0
72,0.234375,0
74,0.46875,0
74,0.46875,0
72,0.46875,0
0,0.46875,0
72,0.46875,0
72,0.46875,0
70,0.46875,0
0,0.46875,0
69,0.46875,0
70,0.46875,0
63,0.703125,0
60,0.234375,0
65,0.234375,0
60,0.234375,0
62,0.46875,0
70,0.703125,0
69,0.234375,0
70,0.234375,0
65,0.234375,0
67,0.234375,0
70,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
69,0.234375,0
67,0.234375,0
65,0.234375,0
69,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
69,0.234375,0
67,0.234375,0
65,0.234375,0
63,0.234375,0
67,0.234375,0
72,0.234375,0
67,0.234375,0
69,0.703125,0
69,0.234375,0
70,0.234375,0
65,0.234375,0
67,0.234375,0
65,0.234375,0
74,1.171875,0
65,0.234375,0
67,0.234375,0
65,0.234375,0
75,1.171875,0
65,0.234375,0
70,0.234375,0
69,0.234375,0
74,0.234375,0
72,0.234375,0
75,0.234375,0
74,0.234375,0
79,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
77,0.234375,0
75,0.234375,0
77,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
69,0.234375,0
74,0.234375,0
72,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
70,0.234375,0
69,0.234375,0
72,0.234375,0
77,1.171875,0
67,0.234375,0
72,0.234375,0
71,0.234375,0
75,0.234375,0
74,0.234375,0
77,0.234375,0
75,0.234375,0
80,0.234375,0
79,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
79,0.234375,0
77,0.234375,0
79,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
71,0.234375,0
72,0.234375,0
74,0.234375,0
75,0.234375,0
67,0.234375,0
68,0.234375,0
70,0.234375,0
68,0.234375,0
65,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
71,0.234375,0
80,0.234375,0
79,0.234375,0
77,0.234375,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
71,0.234375,0
72,0.234375,0
74,0.234375,0
72,0.234375,0
74,0.234375,0
74,0.703125,0
72,0.1171875,0
74,0.1171875,0
75,0.234375,0
74,0.234375,0
72,0.234375,0
74,0.234375,0
75,0.234375,0
77,0.234375,0
79,0.46875,0
79,0.46875,0
77,0.46875,0
0,0.46875,0
77,0.46875,0
77,0.46875,0
75,0.234375,0
74,0.234375,0
79,0.234375,0
77,0.234375,0
80,0.234375,0
79,0.234375,0
79,0.703125,0
80,0.234375,0
74,0.703125,0
72,0.234375,0
72,3.75,0
0,7.96875,1
60,0.234375,1
59,0.234375,1
60,0.234375,1
62,0.234375,1
63,0.234375,1
55,0.234375,1
56,0.234375,1
58,0.234375,1
56,0.234375,1
53,0.234375,1
65,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
59,0.234375,1
68,0.234375,1
67,0.234375,1
65,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
59,0.234375,1
60,0.234375,1
62,0.234375,1
60,0.234375,1
62,0.234375,1
62,0.703125,1
60,0.1171875,1
62,0.1171875,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
62,0.234375,1
63,0.234375,1
65,0.234375,1
67,0.46875,1
67,0.46875,1
65,0.46875,1
0,0.46875,1
65,0.46875,1
65,0.46875,1
63,0.46875,1
0,0.46875,1
62,0.46875,1
63,0.46875,1
56,0.703125,1
53,0.234375,1
58,0.234375,1
53,0.234375,1
55,0.46875,1
63,0.703125,1
62,0.234375,1
63,0.234375,1
58,0.234375,1
60,0.234375,1
63,0.234375,1
68,0.234375,1
67,0.234375,1
65,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
58,0.234375,1
62,0.234375,1
67,0.234375,1
65,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
58,0.234375,1
56,0.234375,1
60,0.234375,1
65,0.234375,1
60,0.234375,1
62,0.703125,1
62,0.234375,1
63,0.234375,1
58,0.234375,1
60,0.234375,1
58,0.234375,1
67,1.171875,1
58,0.234375,1
60,0.234375,1
58,0.234375,1
68,1.171875,1
58,0.234375,1
63,0.234375,1
62,0.234375,1
67,0.234375,1
65,0.234375,1
68,0.234375,1
67,0.234375,1
72,0.234375,1
70,0.234375,1
68,0.234375,1
67,0.234375,1
65,0.234375,1
70,0.234375,1
68,0.234375,1
70,0.234375,1
67,0.46875,1
51,0.234375,1
53,0.234375,1
55,0.234375,1
57,0.234375,1
58,0.234375,1
50,0.234375,1
51,0.234375,1
53,0.234375,1
51,0.234375,1
48,0.234375,1
60,0.234375,1
58,0.234375,1
57,0.234375,1
55,0.234375,1
54,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
58,0.234375,1
57,0.234375,1
55,0.234375,1
54,0.234375,1
55,0.234375,1
57,0.234375,1
55,0.234375,1
57,0.234375,1
57,0.703125,1
55,0.1171875,1
57,0.1171875,1
58,0.234375,1
57,0.234375,1
55,0.234375,1
57,0.234375,1
58,0.234375,1
60,0.234375,1
62,0.46875,1
62,0.46875,1
60,0.46875,1
0,0.46875,1
60,0.46875,1
60,0.46875,1
58,0.46875,1
0,0.46875,1
57,0.46875,1
58,0.46875,1
51,0.703125,1
48,0.234375,1
53,0.234375,1
48,0.234375,1
50,0.46875,1
58,0.703125,1
57,0.234375,1
58,0.234375,1
53,0.234375,1
55,0.234375,1
58,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
58,0.234375,1
57,0.234375,1
55,0.234375,1
53,0.234375,1
57,0.234375,1
62,0.234375,1
60,0.234375,1
58,0.234375,1
57,0.234375,1
55,0.234375,1
53,0.234375,1
51,0.234375,1
55,0.234375,1
60,0.234375,1
55,0.234375,1
57,0.703125,1
57,0.234375,1
58,0.234375,1
53,0.234375,1
55,0.234375,1
53,0.234375,1
62,1.171875,1
53,0.234375,1
55,0.234375,1
53,0.234375,1
63,1.171875,1
53,0.234375,1
58,0.234375,1
57,0.234375,1
62,0.234375,1
60,0.234375,1
63,0.234375,1
62,0.234375,1
67,0.234375,1
65,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
65,0.234375,1
63,0.234375,1
65,0.234375,1
62,0.234375,1
65,0.234375,1
63,0.234375,1
65,0.234375,1
58,0.234375,1
62,0.234375,1
60,0.234375,1
62,0.234375,1
55,0.234375,1
57,0.234375,1
58,0.234375,1
60,0.234375,1
57,0.234375,1
58,0.234375,1
60,0.234375,1
62,0.234375,1
58,0.234375,1
60,0.234375,1
62,0.234375,1
63,0.234375,1
65,0.234375,1
63,0.234375,1
67,0.234375,1
65,0.234375,1
63,0.234375,1
62,0.234375,1
60,0.234375,1
63,0.234375,1
