prl,ti,channel
PLRL,T11,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LR,T5,0
PLRL,T11,0
LRLP,T1,0
LP,T8,0
PL,T4,0
LP,T8,0
PLRL,T11,0
PLRL,T11,0
RPRP,T6,0
PLRL,T11,0
LRLP,T1,0
RPRP,T6,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
PL,T4,0
LRLP,T1,0
PL,T4,0
LP,T8,0
LP,T8,0
LRLP,T1,0
LRLP,T1,0
PLRL,T11,0
PLRL,T11,0
PLRL,T11,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
PL,T4,0
PLRL,T11,0
LRLP,T1,0
RPRP,T6,0
LR,T5,0
PLRL,T11,0
LRLP,T1,0
PL,T4,0
PLRL,T11,0
LRLP,T1,0
RL,T7,0
PR,T9,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
RPRP,T6,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
PLRL,T11,0
LRLP,T1,0
RL,T7,0
PLRL,T11,0
LRLP,T1,0
RP,T3,0
RPRL,T10,0
RLRL,T2,0
RP,T3,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
PR,T9,0
LP,T8,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LR,T5,0
RL,T7,0
RPRL,T10,0
RLRL,T2,0
PLRL,T11,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
PL,T4,0
LRLP,T1,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
RPRL,T10,0
PLRL,T11,0
LRLP,T1,0
RPRL,T10,0
RLRL,T2,0
RPRL,T10,0
RLRL,T2,0
LR,T5,0
PLRL,T11,0
LRLP,T1,0
RL,T7,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LR,T5,0
PLRL,T11,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PLRL,T11,0
LRLP,T1,0
LP,T8,0
PL,T4,0
LRLP,T1,0
LRLP,T1,0
LR,T5,0
LRLP,T1,0
PLRL,T11,0
LRLP,T1,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
PLRL,T11,0
PLRL,T11,0
LRLP,T1,0
PLRL,T11,0
LP,T8,0
PLRL,T11,0
LRLP,T1,0
LRLP,T1,0
LRLP,T1,0
PLRL,T11,0
PL,T4,0
PL,T4,0
RP,T3,0
LR,T5,0
PL,T4,0
PLRL,T11,0
LRLP,T1,0
PL,T4,0
PL,T4,0
LR,T5,0
PR,T9,0
PLRL,T11,0
PLRL,T11,0
RPRL,T10,0
RPRL,T10,0
RLRL,T2,0
PLRL,T11,0
LRLP,T1,0
RLRL,T2,0
LRLP,T1,0
PLRL,T11,0
LR,T5,0
RL,T7,0
RPRL,T10,0
RLRL,T2,0
LP,T8,0
RPRL,T10,0
PLRL,T11,0
RPRP,T6,0
RPRP,T6,0
RLRL,T2,0
LR,T5,0
RL,T7,0
RL,T7,0
RL,T7,0
PLRL,T11,1
PLRL,T11,1
RPRL,T10,1
RPRL,T10,1
RLRL,T2,1
PLRL,T11,1
LRLP,T1,1
RLRL,T2,1
LRLP,T1,1
PLRL,T11,1
LR,T5,1
PLRL,T11,1
LRLP,T1,1
LP,T8,1
PL,T4,1
LP,T8,1
PLRL,T11,1
PLRL,T11,1
RPRP,T6,1
PLRL,T11,1
LRLP,T1,1
RPRP,T6,1
LRLP,T1,1
PLRL,T11,1
LRLP,T1,1
PL,T4,1
LRLP,T1,1
PL,T4,1
LP,T8,1
LP,T8,1
LRLP,T1,1
LRLP,T1,1
PLRL,T11,1
PLRL,T11,1
PLRL,T11,1
PLRL,T11,1
LRLP,T1,1
PLRL,T11,1
LP,T8,1
PLRL,T11,1
LRLP,T1,1
